clast_ID,x,y,Ellipse_major_axis,Ellipse_minor_axis,Clast_length,Clast_width,Surface_area,Score,Orientation
8427.00000,558250.66427,6981581.17293,0.05553,0.04174,0.05694,0.04309,0.00205,0.93809,156.84366
8428.00000,558251.03377,6981581.14184,0.05515,0.04298,0.05192,0.04218,0.00211,0.91348,118.58831
8429.00000,558250.43759,6981580.73684,0.04959,0.03328,0.04402,0.03081,0.00151,0.82740,90.09728
8430.00000,558250.92081,6981580.95262,0.06977,0.04785,0.06401,0.04842,0.00289,0.80367,89.68033
8431.00000,558250.58400,6981580.93792,0.06314,0.04632,0.06031,0.04444,0.00256,0.77991,56.29603
8432.00000,558250.47523,6981581.23438,0.07973,0.04839,0.07746,0.04837,0.00331,0.76666,75.03892
8433.00000,558250.36537,6981580.66440,0.04448,0.03498,0.04428,0.03644,0.00143,0.75533,104.91885
8434.00000,558250.50930,6981581.03550,0.04846,0.04443,0.04808,0.04519,0.00194,0.74457,15.46849
8435.00000,558250.71543,6981580.77450,0.05490,0.04642,0.05355,0.04709,0.00225,0.73105,37.48801
8436.00000,558250.22633,6981581.35674,0.04549,0.03170,0.04065,0.02814,0.00132,0.72734,39.47556
8437.00000,558250.54082,6981581.43841,0.04469,0.02362,0.04349,0.02182,0.00099,0.72685,48.23595
